id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239504,Wardruna,Tyr,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
456239503,Wardruna,UruR,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
456239502,Wardruna,Isa,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
456239501,Wardruna,MannaR - Drivande,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
456239500,Wardruna,MannaR - Liv,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Enigmatic / Mysterious,Slow Tempo/Very Slow/30s
456239499,Wardruna,Raido,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Brooding/Alienated / Brooding,Medium Tempo/Medium/80s
456239498,Wardruna,Pertho,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Enigmatic / Mysterious,Slow Tempo/Very Slow/30s
456239497,Wardruna,Odal,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239496,Wardruna,Wunjo,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/70s
456239197,Wardruna,Algir - Tognatale,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Somber/Enigmatic / Mysterious,Slow Tempo/Very Slow/30s
456239196,Wardruna,Kauna,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/110s
456239195,Wardruna,Jara,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
456239194,Wardruna,Thurs,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Aggressive/Chaotic / Intense,Fast Tempo/Very Fast/220s
456239193,Wardruna,Heimta Thurs,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
456239192,Wardruna,Bjarkan,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
456239191,Wardruna,Hagall,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
442095893,Adrian von Ziegler,Wolf Blood,The Celtic Collection Ii,Male/Male,2015,Other/New Age/New Age World Music,Serious/Thrilling,Medium Tempo/Medium/80s
442095886,Adrian von Ziegler,Prophecy,The Celtic Collection,Male/Male,2012,Other/New Age/New Age World Music,Peaceful/Pastoral / Serene,Slow Tempo/Very Slow/30s
442095880,Adrian von Ziegler,The End,Across Acheron,Male/Male,2011,Other/New Age/New Age World Music,Serious/Thrilling,Medium Tempo/Medium Fast/120s
442095876,Adrian von Ziegler,The End,Across Acheron,Male/Male,2011,Other/New Age/New Age World Music,Serious/Thrilling,Medium Tempo/Medium Fast/120s
442095870,Adrian von Ziegler,The End,Across Acheron,Male/Male,2011,Other/New Age/New Age World Music,Serious/Thrilling,Medium Tempo/Medium Fast/120s
442095861,Adrian von Ziegler,Evocation,The Celtic Collection,Male/Male,2012,Other/New Age/New Age World Music,Stirring/Focused Sparkling,Fast Tempo/Very Fast/190s
442093458,Adrian von Ziegler,Queen Of Thorns,Mirror Of The Night,Male/Male,2011,Other/New Age/New Age World Music,"",""
412945730,Nicholas Gunn,She Walks in Beauty,The Sacred Fire,Male/Male,1994,Other/New Age/New Age World Music,Easygoing/Hopeful / Breezy,Medium Tempo/Medium/60s
410672782,Omnia,Tine Bealtaine,Pagan Folk,Mixed/Mixed Group,2006,Other/New Age/New Age World Music,Fiery/Fiery Groove,Fast Tempo/Fast/140s
410671757,Omnia,Fidhe Ra Huri,Crone of War,Mixed/Mixed Group,2004,Other/New Age/New Age World Music,Sophisticated/Dark Playful,Fast Tempo/Fast/130s
410671755,Omnia,Etrezomp-ni Kelted,Pagan Folk,Mixed/Mixed Group,2006,Other/New Age/New Age World Music,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/60s
410671745,Omnia,Triceltika,Earth Warrior,Mixed/Mixed Group,2014,Other/New Age/New Age World Music,"",""
401488689,Wardruna,Sowelu,Yggdrasil,Male/Male Group,2013,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Medium Tempo/Medium Fast/100s
276881936,Deep Forest,Cafe Europa,Boheme,Male/Male Duo,1995,Other/New Age/New Age World Music,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
183041956,Ronan Hardiman,Strings Of Fire,Michael Flatley's Feet of Flames,Male/Male,1999,Other/New Age/New Age World Music,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/60s
